1,"Bitcoin","$1,362,657,201,142","$69,175.00","19,702,906","$36,931,487,326","0.71 %",2024-05-24 18:42:22
2,"Ethereum","$448,660,281,300","$3,738.61","120,131,151","$37,493,054,259","0.44 %",2024-05-24 18:42:22
3,"Tether","$111,953,128,023","$1.00","111,897,037,587","$66,941,446,516","-0.06 %",2024-05-24 18:42:22
4,"BNB","$92,625,808,733","$602.14","153,856,150","$1,290,589,119","0.65 %",2024-05-24 18:42:22
5,"Solana","$76,185,077,265","$169.93","449,292,927","$4,787,120,649","15.52 %",2024-05-24 18:42:22
7,"USD Coin","$32,687,057,266","$1.00","32,631,885,696","$10,748,798,200","-0.02 %",2024-05-24 18:42:22
8,"XRP","$29,547,973,857","$0.53","55,430,475,754","$1,296,260,540","1.41 %",2024-05-24 18:42:22
9,"Dogecoin","$23,998,471,042","$0.17","144,397,986,384","$2,806,054,801","1.15 %",2024-05-24 18:42:22
11,"Cardano","$16,352,870,043","$0.46","35,366,380,619","$450,955,300","2.12 %",2024-05-24 18:42:22
12,"Avalanche","$15,102,352,618","$38.55","392,830,815","$570,693,039","3.10 %",2024-05-24 18:42:22
13,"Shiba Inu","$14,489,864,602","$0.00","589,262,965,748,290","$566,515,562","0.89 %",2024-05-24 18:42:22
14,"Wrapped Bitcoin","$10,724,066,521","$69,044.00","155,285","$793,655,427","0.71 %",2024-05-24 18:42:22
15,"Chainlink","$10,266,888,450","$17.48","587,099,971","$1,089,646,544","1.47 %",2024-05-24 18:42:22
16,"TRON","$10,053,624,980","$0.12","87,412,362,877","$441,486,690","0.92 %",2024-05-24 18:42:22
17,"Polkadot","$9,984,785,814","$7.30","1,368,024,153","$301,829,427","0.81 %",2024-05-24 18:42:22
18,"Bitcoin Cash","$9,816,648,248","$498.19","19,710,137","$355,317,299","16.32 %",2024-05-24 18:42:22
19,"NEAR Protocol","$8,627,387,030","$8.01","1,078,880,306","$645,706,373","-0.57 %",2024-05-24 18:42:22
20,"Uniswap","$7,078,799,394","$9.41","753,766,667","$364,065,056","1.56 %",2024-05-24 18:42:22
21,"Polygon","$6,751,477,184","$0.73","9,282,943,566","$469,379,095","1.55 %",2024-05-24 18:42:22
22,"Litecoin","$6,338,594,279","$85.05","74,566,771","$532,330,980","2.73 %",2024-05-24 18:42:22
25,"Internet Computer","$5,731,441,822","$12.36","464,291,270","$106,704,682","-1.66 %",2024-05-24 18:42:22
26,"LEO Token","$5,544,754,677","$5.99","926,340,716","$1,545,100","4.71 %",2024-05-24 18:42:22
27,"Dai","$5,308,583,854","$1.00","5,301,037,501","$394,013,780","-0.03 %",2024-05-24 18:42:22
28,"Ethereum Classic","$4,665,637,188","$31.72","147,215,202","$539,663,894","5.24 %",2024-05-24 18:42:22
31,"Hedera","$3,901,741,830","$0.11","35,749,981,467","$76,204,682","1.28 %",2024-05-24 18:42:22
35,"Cosmos Hub","$3,288,080,933","$8.42","390,688,370","$162,839,817","-2.10 %",2024-05-24 18:42:22
37,"Cronos","$3,264,216,212","$0.12","26,754,788,785","$15,374,382","-0.40 %",2024-05-24 18:42:22
38,"Filecoin","$3,236,164,922","$5.83","555,908,492","$224,711,503","1.64 %",2024-05-24 18:42:22
40,"Stellar","$3,186,462,834","$0.11","28,968,039,507","$77,249,606","0.74 %",2024-05-24 18:42:22
43,"The Graph","$3,094,817,988","$0.33","9,509,069,875","$113,933,570","0.03 %",2024-05-24 18:42:22
45,"OKB","$2,960,143,704","$49.32","60,000,000","$5,462,210","0.12 %",2024-05-24 18:42:22
46,"Stacks","$2,915,941,536","$2.00","1,461,194,398","$80,125,613","-0.74 %",2024-05-24 18:42:22
50,"Arweave","$2,671,709,654","$40.85","65,454,186","$92,873,407","1.61 %",2024-05-24 18:42:22
51,"Monero","$2,594,112,274","$142.85","18,147,820","$67,491,954","0.71 %",2024-05-24 18:42:22
52,"VeChain","$2,562,495,880","$0.04","72,714,516,834","$64,842,606","1.91 %",2024-05-24 18:42:22
53,"Maker","$2,552,302,892","$2,753.51","927,636","$113,978,178","1.55 %",2024-05-24 18:42:22
56,"Theta Network","$2,324,095,260","$2.32","1,000,000,000","$36,276,061","-0.03 %",2024-05-24 18:42:22
57,"Fantom","$2,273,880,325","$0.81","2,803,634,836","$308,272,456","1.09 %",2024-05-24 18:42:22
59,"THORChain","$2,213,350,591","$6.62","334,549,533","$392,143,138","2.30 %",2024-05-24 18:42:22
60,"BitTorrent","$2,498,507,941","$0.00","932,497,500,000","$1,038,436","-2.73 %",2024-05-24 18:42:22
69,"Algorand","$1,523,578,514","$0.19","8,164,199,047","$75,250,119","0.22 %",2024-05-24 18:42:22
73,"Aave","$1,453,125,754","$98.17","14,818,359","$208,847,044","3.80 %",2024-05-24 18:42:22
75,"Flow","$1,417,251,472","$0.94","1,508,945,933","$43,310,880","0.13 %",2024-05-24 18:42:22
77,"Quant","$1,365,097,157","$94.42","14,544,176","$18,644,378","2.74 %",2024-05-24 18:42:22
80,"Bitcoin SV","$1,253,471,751","$63.71","19,705,897","$20,078,423","9.24 %",2024-05-24 18:42:22
84,"Axie Infinity","$1,150,701,587","$7.94","145,133,851","$73,409,542","2.05 %",2024-05-24 18:42:22
90,"NEO","$1,074,553,000","$15.24","70,530,000","$44,997,080","1.63 %",2024-05-24 18:42:22
92,"Gate","$1,038,169,096","$7.96","130,359,278","$3,367,795","0.15 %",2024-05-24 18:42:22
93,"Chiliz","$1,038,029,180","$0.12","8,888,888,888","$78,308,231","1.00 %",2024-05-24 18:42:22
94,"MultiversX","$1,036,577,320","$38.45","26,979,165","$31,164,653","5.02 %",2024-05-24 18:42:22
98,"DxChain Token","$94,790,225","$0.00","0","$156,923","3.37 %",2024-05-24 18:42:22
100,"Aave LINK","$330,885,424","$25.19","0","$11,646,285","3.32 %",2024-05-24 18:42:22
1173,"Perth Mint Gold Token","$2,065,882","$1,786.56","1,157","$12,755","-0.03 %",2024-05-24 18:42:22
1508,"Digix Gold Token","$1,169,772","$45.22","25,792","$0","-1.00 %",2024-05-24 18:42:22
5920,"AurusGOLD","$0","$58.85","0","$41,716","-0.09 %",2024-05-24 18:42:22
1,"Bitcoin","$1,362,657,201,142","$69,175.00","19,702,906","$36,931,487,326","0.71 %",2024-05-24 19:10:40
2,"Ethereum","$448,660,281,300","$3,738.61","120,131,151","$37,493,054,259","0.44 %",2024-05-24 19:10:40
3,"Tether","$111,953,128,023","$1.00","111,897,037,587","$66,941,446,516","-0.06 %",2024-05-24 19:10:40
4,"BNB","$92,625,808,733","$602.14","153,856,150","$1,290,589,119","0.65 %",2024-05-24 19:10:40
5,"Solana","$76,185,077,265","$169.93","449,292,927","$4,787,120,649","15.52 %",2024-05-24 19:10:40
7,"USD Coin","$32,687,057,266","$1.00","32,631,885,696","$10,748,798,200","-0.02 %",2024-05-24 19:10:40
8,"XRP","$29,547,973,857","$0.53","55,430,475,754","$1,296,260,540","1.41 %",2024-05-24 19:10:40
